mode,seq_len,d_head,ms
naive,512,64,2.0479
naive_causal,512,64,1.7225
flash,512,64,1.5155
flash_causal,512,64,1.3053
flash_v2,512,64,1.9815
flash_wmma,512,64,1.2976
flash_wmma_db,512,64,1.3262
naive,1024,64,3.3592
naive_causal,1024,64,2.3046
flash,1024,64,1.7355
flash_causal,1024,64,1.8689
flash_v2,1024,64,5.6126
flash_wmma,1024,64,1.9398
flash_wmma_db,1024,64,1.9401
naive,2048,64,7.8537
naive_causal,2048,64,5.4378
flash,2048,64,3.7739
flash_causal,2048,64,3.2894
flash_v2,2048,64,18.6593
flash_wmma,2048,64,3.9301
flash_wmma_db,2048,64,3.9322
naive,4096,64,27.1224
naive_causal,4096,64,17.9202
flash,4096,64,15.0482
flash_causal,4096,64,9.5183
flash_v2,4096,64,66.3316
flash_wmma,4096,64,15.7925
flash_wmma_db,4096,64,15.7941
naive,8192,64,113.5454
naive_causal,8192,64,73.6597
flash,8192,64,58.6775
flash_causal,8192,64,30.6487
flash_v2,8192,64,252.8825
flash_wmma,8192,64,50.1890
flash_wmma_db,8192,64,50.1845
